,provincia,SCRI_FLOOD,SCRI_WINDSTORM,SCRI_SEASTORM
1,ALBACETE,1.0,1.0,1.733333333
3,ALMERIA,1.0,1.0,3.0
4,ARABA,1.0,1.0,1.733333333
5,ASTURIAS,1.0,1.037037037,2.0
10,BURGOS,1.0,1.071428571,1.733333333
11,CACERES,1.0,1.0,1.733333333
13,CANTABRIA,1.02,1.055555556,1.0
18,CUENCA,1.0,1.0,1.733333333
19,GIPUZKOA,1.0,1.0,1.0
20,GIRONA,1.0,1.0,2.0
21,GRANADA,1.0,1.0,1.733333333
22,GUADALAJARA,1.0,1.0,1.733333333
24,HUESCA,1.0,1.0,1.733333333
27,LA RIOJA,1.0,1.0,1.733333333
29,LEON,1.0,1.0,1.733333333
31,LUGO,1.0,1.0,1.733333333
37,OURENSE,1.0,1.0,1.733333333
38,PALENCIA,1.0,1.0,1.733333333
40,SALAMANCA,1.0,1.0,1.733333333
41,SANTA CRUZ DE TENERIFE,1.0,1.0,1.0
42,SEGOVIA,1.0,1.0,1.733333333
44,SORIA,1.0,1.0,1.733333333
46,TERUEL,1.0,1.0,1.733333333
50,ZAMORA,1.0,1.0,1.733333333
