,provincia,coste,duration,prec,tmed,velmedia,presmed,sol
21,MALAGA,5851639.0,1,64.96000000000001,11.15,8.0,990.49,0.0
508,CASTELLON,5096250.0,2,11.95,21.616666666666667,2.35,948.875,6.775
514,ZARAGOZA,5085927.0,1,0.0,23.04,4.32,960.075,11.975
527,VALENCIA,3247638.0,1,11.95,24.714285714285715,1.94,979.45,6.125
564,MADRID,4513541.0,1,6.08,18.509090909090908,2.38,911.685,3.6666666666666665
571,TARRAGONA,11045352.0,1,27.8,21.35,2.65,1010.55,0.2
573,TOLEDO,11971603.0,1,10.8,22.1,2.65,936.1500000000001,4.550000000000001
574,VALENCIA,3309495.0,1,41.4,23.228571428571428,2.875,981.8499999999999,2.075
746,AVILA,6826785.0,1,31.85,18.65,3.3,890.3499999999999,4.2
764,BADAJOZ,6636518.0,1,22.7,18.24,3.0,965.75,2.84
1005,BIZKAIA,4089853.0,1,21.125,10.166666666666666,2.825,1004.8,0.0
1007,CANTABRIA,11726083.0,1,14.4,9.742857142857144,4.971428571428571,995.04,0.0
1076,NAVARRA,4552613.0,1,2.96,8.66,2.725,977.975,0.1
1083,NAVARRA,5563349.0,1,0.04,9.4,1.325,981.575,6.5
1090,BIZKAIA,3498446.0,1,0.025,7.166666666666667,1.7999999999999998,1012.775,7.8
1092,ZARAGOZA,3475411.0,1,0.0,4.720000000000001,0.9600000000000002,972.75,2.575
1123,CADIZ,6002998.0,1,28.35833333333333,14.278571428571428,4.969047619047619,991.465476190476,1.0499999999999998
1127,SEVILLA,5866823.0,1,16.0,12.225,2.825,979.7125,0.1
